风险因子,分组,客户数,客户占比,坏客户率,相对整体坏客户率
DPD30+状态,无DPD30+,119637,0.7990128964609867,0.0272825296521979,0.4081766854009261
DPD30+状态,有DPD30+,30094,0.2009871035390133,0.21981125805808466,3.288618462867814
90天以上逾期次数,0次,141662,0.9461100239763309,0.0462650534370544,0.6921761435825016
90天以上逾期次数,1次,5243,0.035016128924538,0.3366393286286477,5.036495042319685
90天以上逾期次数,2次,1555,0.010385290955112836,0.49903536977491963,7.466118638164567
90天以上逾期次数,3次及以上,1271,0.008488556144018273,0.6168371361132966,9.228562778475414
年龄,25岁及以下,3027,0.02018,0.11166171126527916,1.6705821553752118
年龄,26-35岁,18458,0.12305333333333333,0.11122548488460288,1.6640557283752675
年龄,36-45岁,29819,0.19879333333333332,0.08813172809282672,1.318547697379215
年龄,46-55岁,36690,0.2446,0.07593349686563096,1.1360487262960945
年龄,56-65岁,33406,0.22270666666666666,0.04583009040292163,0.6856686176379658
年龄,66-75岁,18470,0.12313333333333333,0.02615051434759069,0.3912404899400163
年龄,75岁以上,10129,0.06752666666666667,0.02043637081646757,0.30575061065929937
额度使用率,0,10878,0.07252,0.02941717227431513,0.44011328956186613
额度使用率,0-30%,82004,0.5466933333333334,0.021230671674552462,0.31763422613034803
额度使用率,30%-70%,27170,0.18113333333333334,0.07401545822598454,1.107352756223587
额度使用率,70%-100%,26627,0.17751333333333333,0.17715101213054418,2.6503742090147244
额度使用率,100%-1000%,3080,0.020533333333333334,0.3961038961038961,5.926150450387435
额度使用率,1000%以上,241,0.0016066666666666666,0.07053941908713693,1.0553473831109654
月收入,0-2000,12003,0.08002,0.08447888027993002,1.2638970718122384
月收入,10000-20000,16216,0.10810666666666667,0.04193389245189936,0.6273772060427791
月收入,2000-5000,43856,0.2923733333333333,0.08662440715067493,1.295996516317698
月收入,20000以上,2103,0.01402,0.05325725154541132,0.7967871266518749
月收入,5000-10000,46091,0.30727333333333334,0.05970796901781259,0.8932969631629653
月收入,收入缺失,29731,0.19820666666666667,0.05613669234132723,0.8398667316177025
负债率,0-20%,42289,0.28192666666666666,0.06112700702310293,0.9145273342774227
负债率,20%-50%,51419,0.34279333333333334,0.059705556311869155,0.8932608664253315
负债率,50%-100%,21155,0.14103333333333334,0.0983219097140156,1.4710040352186655
负债率,100%-500%,5491,0.03660666666666667,0.11819340739391732,1.768303521752204
负债率,500%以上,29646,0.19764,0.05538689873844701,0.8286489936931031
开放信贷账户数,0个,1888,0.012586666666666666,0.2563559322033898,3.8353670287760298
开放信贷账户数,1-3个,20162,0.13441333333333333,0.09304632476936812,1.3920754753047297
开放信贷账户数,4-8个,63961,0.42640666666666666,0.057363080627257236,0.8582148507967869
开放信贷账户数,9-15个,50163,0.33442,0.060642306082172116,0.9072756744789365
开放信贷账户数,16-40个,13764,0.09176,0.06880267364138332,1.0293637588477456
开放信贷账户数,40个以上,62,0.0004133333333333333,0.12903225806451613,1.9304646628443467
家属数量,0人,86902,0.5793466666666667,0.05862926054636257,0.8771582966242156
家属数量,1人,26316,0.17544,0.07352941176470588,1.1000809659590947
家属数量,2人,19522,0.13014666666666666,0.08113922753816208,1.2139321893800432
家属数量,3-5人,13091,0.08727333333333333,0.09181880681384157,1.3737104550245598
家属数量,5人以上,245,0.0016333333333333334,0.12653061224489795,1.8930372867279766
家属数量,家属数量缺失,3924,0.02616,0.04561671763506626,0.6824763260781906
